realId,evidenceType,date,obtainedFrom,scopeWeb,scopePublicDisplay,scopeDerivatives,ethicsRef,note
r001,publieke vertoning op het CRIG-evenement,2026-09-22,CRIG Ontdekt,false,true,true,,Webhosting niet bevestigd; bevat herkenbare personen
r002,publieke vertoning op het CRIG-evenement,2026-09-22,CRIG Ontdekt,false,true,true,,Webhosting niet bevestigd; bevat herkenbare personen
r003,publieke vertoning op het CRIG-evenement,2026-09-22,CRIG Ontdekt,false,true,true,,Webhosting niet bevestigd; bevat herkenbare personen
r004,publieke vertoning op het CRIG-evenement,2026-09-22,CRIG Ontdekt,false,true,true,,Webhosting niet bevestigd; bevat herkenbare personen
r005,publieke vertoning op het CRIG-evenement,2026-09-22,CRIG Ontdekt,false,true,true,,Webhosting niet bevestigd; bevat herkenbare personen
r006,publieke vertoning op het CRIG-evenement,2026-09-22,CRIG Ontdekt,false,true,true,,Webhosting niet bevestigd; bevat herkenbare personen
r007,publieke vertoning op het CRIG-evenement,2026-09-22,CRIG Ontdekt,false,true,true,,Webhosting niet bevestigd; bevat herkenbare personen
